Date,Open,High,Low,Close,Volume,AdjClose
2003-12-29,61.0613,61.8367,60.9644,61.5459,68800,48.7416
2003-12-23,61.0613,61.2551,60.2859,60.5282,61900,47.9356
2003-12-22,61.0613,61.4975,60.3828,60.6251,91200,48.0124
2003-12-19,61.0613,61.8852,60.7705,61.2551,77200,48.5113
2003-12-18,59.9952,60.9644,59.6559,60.7705,86100,48.1275
2003-12-17,61.6428,61.9821,60.2375,60.2375,65100,47.7054
2003-12-16,61.7398,61.9336,60.9644,61.9336,54700,49.0487
2003-12-15,62.8544,62.9513,62.1274,62.2244,99000,49.279
2003-12-12,62.5151,62.8834,61.3521,61.5459,123100,48.7416
2003-12-11,61.5459,62.1759,61.4975,62.1759,71600,49.2405
2003-12-10,61.2551,61.7398,60.9644,61.5459,68100,48.7416
2003-12-09,61.3521,61.8852,61.0128,61.6428,74000,48.8184
2003-12-08,60.6736,61.0128,59.9467,60.6736,86000,48.0508
2003-12-05,61.7398,61.7398,60.5767,61.449,93300,48.6649
2003-12-04,62.7575,63.0482,61.7398,61.9821,152300,49.0871
2003-12-03,61.2551,63.0967,61.2551,63.0967,246700,49.9698
2003-12-02,60.7705,61.1098,60.2375,60.8675,118200,48.2043
2003-12-01,59.7044,60.9644,59.7044,60.7221,88100,48.0892
2003-11-28,59.0744,59.4621,58.2021,58.9775,73400,46.7076
2003-11-27,58.9775,59.1713,58.6382,59.0744,42800,46.7843
2003-11-26,59.0744,59.7528,58.0567,58.4929,87000,46.3238
2003-11-25,59.2682,59.4136,58.6867,58.9775,80300,46.7076
2003-11-24,57.0875,59.2682,57.0875,59.1228,89000,46.8226
2003-11-21,56.6998,57.1359,56.1183,56.9421,62300,45.0956
2003-11-20,57.4752,57.6205,55.6336,57.1844,126900,45.2875
2003-11-19,56.6998,57.2813,55.9244,57.1844,165500,45.2875
2003-11-18,59.1228,59.2198,57.2329,57.4752,123100,45.5178
2003-11-17,59.4136,59.5105,58.2505,58.4347,159000,46.2777
2003-11-14,60.2859,61.3036,60.0921,61.2551,121800,48.5113
2003-11-13,59.9952,60.6736,59.8498,60.4798,173600,47.8973
2003-11-12,59.1228,59.559,58.299,59.0744,72700,46.7843
2003-11-11,58.2505,58.9193,57.9113,58.8321,85100,46.5924
2003-11-10,59.1228,59.7044,58.4929,58.5413,90400,46.3621
2003-11-07,58.9775,60.2859,58.9775,59.2198,179700,46.8994
2003-11-06,58.0567,58.8805,57.3782,58.5413,100500,46.3621
2003-11-05,57.7175,58.3475,57.4752,57.9598,120000,45.9016
2003-11-04,58.1536,58.5898,57.7659,57.9113,158400,45.8632
2003-11-03,56.0213,58.1536,56.0213,58.1536,253100,46.0551
2003-10-31,55.6336,56.2152,55.3913,56.0213,75900,44.3664
2003-10-30,55.6336,56.6707,55.0521,56.1183,224700,44.4432
2003-10-29,55.2459,55.4398,54.9067,55.4398,84700,43.9059
2003-10-28,53.8406,54.6644,53.8406,54.4706,49700,43.1383
2003-10-27,52.8229,53.5983,52.7744,53.5013,55000,42.3706
2003-10-24,52.8229,53.1136,52.3383,52.5321,44000,41.6031
2003-10-23,52.8229,53.2106,52.2413,53.0167,110800,41.9869
2003-10-22,54.7613,55.2459,53.8406,53.889,56800,42.6777
2003-10-21,55.4398,55.5852,54.6644,55.2459,67800,43.7523
2003-10-20,54.2767,54.8582,53.6952,54.8582,47400,43.4453
2003-10-17,54.9067,55.4883,54.0829,54.3736,61200,43.0615
2003-10-16,54.6644,55.3429,53.986,55.0521,56300,43.5988
2003-10-15,55.149,55.6821,54.7129,55.0036,90700,43.5604
2003-10-14,55.3429,55.4398,53.9375,54.2767,58500,42.9847
2003-10-13,53.889,55.2459,53.889,54.9067,100500,43.4837
2003-10-10,53.5983,54.519,53.3075,53.6467,65100,42.4858
2003-10-09,52.9198,54.2282,52.629,53.889,62500,42.6777
2003-10-08,52.0475,53.5013,51.9506,52.8229,60900,41.8334
2003-10-07,52.8229,52.9198,51.5629,52.1444,55700,41.296
2003-10-06,52.3383,52.8713,52.2413,52.5321,83900,41.6031
2003-10-03,50.739,52.9683,50.6906,52.9683,17500,41.9485
2003-10-02,50.9813,51.6598,50.3998,50.4967,53700,39.9911
2003-10-01,49.2367,50.3998,48.946,50.206,77100,39.7609
2003-09-30,50.3998,50.5452,48.7037,49.2367,112700,38.9933
2003-09-29,49.9152,51.2237,49.7214,50.4967,67500,39.9911
2003-09-26,49.6244,50.5452,49.1398,50.109,98400,39.6841
2003-09-25,49.7214,50.7875,49.3337,50.6906,149100,40.1447
2003-09-24,52.1444,52.4836,50.109,50.4967,132200,39.9911
2003-09-23,52.3383,52.629,50.836,51.3981,206200,40.705
2003-09-22,53.986,53.986,52.2898,52.5806,107400,41.6415
2003-09-19,55.7305,56.0989,55.149,55.5367,63200,43.9826
2003-09-18,54.7613,55.6336,54.4706,55.5367,67100,43.9826
2003-09-17,55.1006,55.5658,54.8582,55.0521,67000,43.5988
2003-09-16,52.9198,54.2767,52.5806,54.0829,65700,42.8312
2003-09-15,53.0652,53.3559,52.629,52.9198,42100,41.9101
2003-09-12,54.0829,54.0829,52.0475,52.5321,76400,41.6031
2003-09-11,52.9198,53.889,52.2026,53.5983,119600,42.4475
2003-09-10,54.4221,54.4706,53.0167,53.259,185000,42.1788
2003-09-09,56.6029,56.6222,54.6159,55.149,112200,43.6756
2003-09-08,55.3429,56.5544,55.3429,56.1183,69900,44.4432
2003-09-05,56.5059,56.5544,55.0521,55.3913,97900,43.8674
2003-09-04,55.8275,56.4575,55.7305,56.409,99900,44.6734
2003-09-03,56.2152,56.3605,55.5852,56.0213,86000,44.3664
2003-09-02,56.0213,56.2152,55.0521,55.5367,103000,43.9826
2003-09-01,55.1006,56.0213,55.1006,56.0213,89800,44.3664
2003-08-29,54.8582,55.4883,54.519,54.9067,93200,43.4837
2003-08-28,53.3559,54.7129,53.2106,54.3736,91900,43.0615
2003-08-27,52.9683,53.259,52.4836,52.9683,76800,41.9485
2003-08-26,53.6952,54.7129,51.9506,52.2413,161300,41.3728
2003-08-25,54.7613,54.7613,53.5013,53.7921,114900,42.6009
2003-08-22,54.0829,55.8759,53.9375,54.7613,144400,43.3685
2003-08-21,52.9198,54.2282,52.9198,54.0829,124100,42.8312
2003-08-20,53.1621,53.259,52.1444,52.5321,102100,41.6031
2003-08-19,52.629,53.5498,52.5321,52.9198,198500,41.9101
2003-08-18,51.1752,51.7567,50.836,51.6598,83100,40.9123
2003-08-15,50.7875,51.2721,50.3998,50.7584,76300,40.1984
2003-08-14,49.8183,51.0007,49.6244,51.0007,123000,40.3903
2003-08-13,48.7521,50.206,48.7521,49.6244,127000,39.3003
2003-08-12,47.9767,48.6552,47.9767,48.3644,62900,38.3025
2003-08-11,47.9767,48.3644,47.2983,47.7829,44600,37.8419
2003-08-08,47.7829,48.2675,47.3952,47.7829,53800,37.8419
2003-08-07,47.9767,47.9767,46.9106,47.4921,83900,37.6116
2003-08-06,47.9767,48.2675,47.1529,48.0252,74000,38.0338
2003-08-05,48.3644,48.8006,47.7829,48.6067,69100,38.4943
2003-08-04,47.7829,48.6552,47.2983,47.8798,109600,37.9187
2003-08-01,48.3644,48.4613,47.8798,48.0737,73100,38.0722
2003-07-31,48.1221,48.7037,47.686,48.4613,80500,38.3792
2003-07-30,47.686,48.1706,47.3952,47.9767,67000,37.9954
2003-07-29,48.1706,48.7521,47.5891,48.0737,107100,38.0722
2003-07-28,47.9767,48.6552,47.9767,47.9767,161500,37.9954
2003-07-25,47.1044,47.841,46.9106,47.2983,91100,37.4581
2003-07-24,46.2321,47.7344,45.8444,47.2983,226300,37.4581
2003-07-23,46.0383,46.2321,44.9721,45.2144,68600,35.8078
2003-07-22,45.1175,45.8929,44.6329,45.8929,109800,36.3451
2003-07-21,46.2321,46.329,44.7783,44.9237,70500,35.5776
2003-07-18,45.0691,46.2321,44.8752,45.9414,58600,36.3835
2003-07-17,45.7475,45.796,44.6329,45.166,126400,35.7695
2003-07-16,46.2321,46.5229,45.6506,46.329,167800,36.6905
2003-07-15,45.0691,46.4066,44.9237,45.6506,127600,36.1532
2003-07-14,44.8752,45.4567,44.5844,45.0691,89700,35.6927
2003-07-11,43.4214,44.7783,43.3245,44.7298,61900,35.424
2003-07-10,44.4875,44.7298,43.6152,43.6152,76100,34.5413
2003-07-09,45.2144,45.3114,44.3421,44.7783,99300,35.4624
2003-07-08,44.2937,45.4567,44.2937,44.7783,165300,35.4624
2003-07-07,42.646,44.536,42.646,44.3906,198800,35.1554
2003-07-04,41.8706,42.3552,41.8222,42.1614,53600,33.39
2003-07-03,41.8222,42.5006,41.6768,42.0644,74600,33.3131
2003-07-02,40.8045,41.8706,40.8045,41.7252,54300,33.0445
2003-07-01,41.1922,41.1922,39.8352,40.126,70300,31.778
2003-06-30,41.5798,42.1129,41.0952,41.3375,53400,32.7375
2003-06-27,42.3552,42.4521,41.6768,41.8706,39000,33.1597
2003-06-26,41.5798,42.1129,41.4829,42.0644,62500,33.3131
2003-06-25,41.9191,42.142,41.4829,41.9675,48800,33.2364
2003-06-24,41.6768,42.1129,41.3375,41.8222,60900,33.1213
2003-06-23,42.2098,42.4521,41.4829,41.6283,97500,32.9678
2003-06-20,42.1614,42.646,41.9675,42.4521,56700,33.6202
2003-06-19,42.5491,43.1791,41.7737,41.8706,84300,33.1597
2003-06-18,41.9675,42.5975,41.7737,42.4037,98100,33.5818
2003-06-17,41.7737,42.4521,41.6768,41.8706,102600,33.1597
2003-06-16,40.4168,41.3375,40.126,41.3085,75700,32.7145
2003-06-13,41.2891,41.5798,40.6106,40.7075,90500,32.2385
2003-06-12,41.6768,41.8222,40.6106,41.386,125600,32.7759
2003-06-11,41.6768,42.0644,41.1922,41.386,88200,32.7759
2003-06-10,40.9014,41.7737,40.8045,41.5314,71200,32.891
2003-06-09,41.6768,41.6768,40.8529,40.9983,14600,32.4688
2003-06-06,40.9014,42.3068,40.8045,41.6768,102400,33.0062
2003-06-05,40.9014,41.0952,40.2229,40.7075,97500,32.2385
2003-06-04,39.9322,40.6978,39.3991,40.5137,48600,32.085
2003-06-03,39.496,39.8352,39.1083,39.622,58500,31.3789
2003-06-02,39.8352,40.126,39.496,39.8352,73700,31.5477
