Fecha		Ap	Pb   ENSO
26/10/1999       166.43              68.62059188      -1.3
27/10/1999       128.07              73.18184299      -1.3
28/10/1999       142.54              67.26836257      -1.3
29/10/1999       174.85              65.20974482      -1.3
30/10/1999       210.61              64.46299132      -1.3
31/10/1999       153.55              60.70904129      -1.3
01/11/1999        134.6              63.63377778      -1.5
02/11/1999       138.68              65.96380247      -1.5
03/11/1999       161.97              65.26077778      -1.5
04/11/1999       148.62               65.3812963      -1.5
05/11/1999       133.49              63.77438272      -1.5
06/11/1999       123.89              63.33248148      -1.5
07/11/1999       134.73              60.62081481      -1.5
08/11/1999        127.9                    65.08      -1.5
09/11/1999       114.18               64.8791358      -1.5
10/11/1999       103.32              64.75861728      -1.5
11/11/1999       129.16              63.01109877      -1.5
12/11/1999        111.2               63.7542963      -1.5
13/11/1999       115.44              64.69835802      -1.5
14/11/1999       109.01              61.98669136      -1.5
15/11/1999       110.42              63.27222222      -1.5
16/11/1999        111.3              65.12017284      -1.5
17/11/1999       131.67              66.08432099      -1.5
18/11/1999       157.82              65.82319753      -1.5
19/11/1999       211.94              66.74717284      -1.5
20/11/1999       157.34              64.55775309      -1.5
21/11/1999       139.55              63.11153086      -1.5
22/11/1999       128.97              65.66250617      -1.5
23/11/1999        133.9              66.22492593      -1.5
24/11/1999       144.39               64.8791358      -1.5
25/11/1999       147.89              66.04414815      -1.5
26/11/1999       122.65              63.51325926      -1.5
27/11/1999       112.45              63.29230864      -1.5
28/11/1999        99.59              60.62081481      -1.5
29/11/1999        92.25              63.33248148      -1.5
30/11/1999        90.26              63.39274074      -1.5
01/12/1999        118.7              63.21894035      -1.7
02/12/1999       131.04              61.22087018      -1.7
03/12/1999       143.02              61.14094737      -1.7
04/12/1999       121.58              60.84123684      -1.7
05/12/1999       133.98              58.30368772      -1.7
06/12/1999       130.32              62.49963509      -1.7
07/12/1999       111.58              59.50252982      -1.7
08/12/1999       101.72              58.30368772      -1.7
09/12/1999        94.31              62.06005965      -1.7
