dia           fecha             y
VIERNES       20/12/02          6500
SÁBADO        21/12/02          3606
DOMINGO       22/12/02          1434
LUNES         23/12/02          7189
MARTES        24/12/02          4299
MIÉRCOLES     25/12/02          777
JUEVES        26/12/02          6584
VIERNES       27/12/02          6517
SÁBADO        28/12/02          3301
DOMINGO       29/12/02          1410
LUNES         30/12/02          7016
MARTES        31/12/02          3255
JUEVES        02/01/03          4474
VIERNES       03/01/03          5332
SÁBADO        04/01/03          2151
DOMINGO       05/01/03          639
LUNES         06/01/03          855
MARTES        07/01/03          5783
MIÉRCOLES     08/01/03          4869
JUEVES        09/01/03          4457
VIERNES       10/01/03          4673
SÁBADO        11/01/03          2337
DOMINGO       12/01/03          785
LUNES         13/01/03          5538
MARTES        14/01/03          5393
MIÉRCOLES     15/01/03          6820
JUEVES        16/01/03          5922
VIERNES       17/01/03          5960
SÁBADO        18/01/03          2401
DOMINGO       19/01/03          785
LUNES         20/01/03          5808
MARTES        21/01/03          5156
MIÉRCOLES     22/01/03          4625
JUEVES        23/01/03          3844
VIERNES       24/01/03          4441
SÁBADO        25/01/03          2286
DOMINGO       26/01/03          1042
LUNES         27/01/03          5540
MARTES        28/01/03          5199
MIÉRCOLES     29/01/03          4488
JUEVES        30/01/03          5840
VIERNES       31/01/03          6154
SÁBADO        01/02/03          3051
DOMINGO       02/02/03          1005
LUNES         03/02/03          4556
MARTES        04/02/03          7046
MIÉRCOLES     05/02/03          5344
JUEVES        06/02/03          4731
VIERNES       07/02/03          4799
SÁBADO        08/02/03          2110
DOMINGO       09/02/03          883
LUNES         10/02/03          4966
MARTES        11/02/03          4518
MIÉRCOLES     12/02/03          4292
JUEVES        13/02/03          4185
VIERNES       14/02/03          8720
SÁBADO        15/02/03          3350
DOMINGO       16/02/03          1351
LUNES         17/02/03          7670
MARTES        18/02/03          6673
MIÉRCOLES     19/02/03          4857
JUEVES        20/02/03          4835
VIERNES       21/02/03          4993
SÁBADO        22/02/03          2157
DOMINGO       23/02/03          901
LUNES         24/02/03          5251
MARTES        25/02/03          4868
MIÉRCOLES     26/02/03          4944
JUEVES        27/02/03          5365
VIERNES       28/02/03          7070
SÁBADO        01/03/03          3124
DOMINGO       02/03/03          1159
LUNES         03/03/03          6280
MARTES        04/03/03          5427
MIÉRCOLES     05/03/03          4842
JUEVES        06/03/03          4828
VIERNES       07/03/03          4770
SÁBADO        08/03/03          2058
DOMINGO       09/03/03          900
LUNES         10/03/03          5325
MARTES        11/03/03          4671
MIÉRCOLES     12/03/03          5028
JUEVES        13/03/03          5340
VIERNES       14/03/03          6334
SÁBADO        15/03/03          3003
DOMINGO       16/03/03          1058
LUNES         17/03/03          5814
MARTES        18/03/03          4960
MIÉRCOLES     19/03/03          4571
JUEVES        20/03/03          4681
VIERNES       21/03/03          4575
SÁBADO        22/03/03          2033
DOMINGO       23/03/03          712
LUNES         24/03/03          863
MARTES        25/03/03          5619
MIÉRCOLES     26/03/03          5475
JUEVES        27/03/03          4751
VIERNES       28/03/03          6269
SÁBADO        29/03/03          3280
DOMINGO       30/03/03          1422
LUNES         31/03/03          6923
MARTES        01/04/03          6917
MIÉRCOLES     02/04/03          5778
JUEVES        03/04/03          5001
VIERNES       04/04/03          5061
SÁBADO        05/04/03          2559
DOMINGO       06/04/03          934
LUNES         07/04/03          5444
MARTES        08/04/03          4918
MIÉRCOLES     09/04/03          4541
JUEVES        10/04/03          4511
VIERNES       11/04/03          5090
SÁBADO        12/04/03          2222
DOMINGO       13/04/03          1071
